contentType,identifier,language,url,title,creators,publicationName,subjects
Article,doi:10.1007/s10750-024-05641-z,en,http://dx.doi.org/10.1007/s10750-024-05641-z,Multi-method distribution modelling of an invasive crayfish (Pontastacus leptodactylus) at Eurasian scale,"Hodson, J., South, J., Cancellario, T., Guareschi, S.",Hydrobiologia,
Article,doi:10.1007/s10750-024-05505-6,en,http://dx.doi.org/10.1007/s10750-024-05505-6,Assessing the impact of the invasive ctenophore Mnemiopsis leidyi on artisanal fisheries in the Venice Lagoon: an interdisciplinary approach,"Piccardi, F., Poli, F., Sguotti, C., Tirelli, V., Borme, D., Mazzoldi, C., Barausse, A.",Hydrobiologia,
Article,doi:10.1007/s10750-024-05580-9,en,http://dx.doi.org/10.1007/s10750-024-05580-9,Differential survival of Ilyanassa obsoleta to water temperature and association with the non-native red alga Gracilaria vermiculophylla,"Lee, Timothy S., Fowler, Amy E., Largen, Jessica R., Russo, Jonathan P., Schlegel, Zackary J., Wright, Dawson K., Blakeslee, April M. H.",Hydrobiologia,
Article,doi:10.1007/s10750-024-05533-2,en,http://dx.doi.org/10.1007/s10750-024-05533-2,Movements and habitat use of native and invasive piscivorous fishes in a temperate and channelized lowland river,"Nolan, Emma T., Hindes, Andrew M., Bolland, Jonathan D., Davies, Peter, Gutmann Roberts, Catherine, Tarkan, Ali Serhan, Britton, J. Robert",Hydrobiologia,
Article,doi:10.1007/s10750-024-05658-4,en,http://dx.doi.org/10.1007/s10750-024-05658-4,Stable isotope analysis reveals fish juveniles as a temporal main resource consumed by invasive pumpkinseed (Lepomis gibbosus),"Hnilička, Michal, Janáč, Michal, Palupová, Eva, Tkachenko, Maria Yu., Horká, Petra, Jandová, Kateřina, Holubová, Kateřina, Jurajda, Pavel, Ondračková, Markéta",Hydrobiologia,
Article,doi:10.1007/s10750-024-05619-x,en,http://dx.doi.org/10.1007/s10750-024-05619-x,Universal framework for assessing the environmental impact of marine non-indigenous species in different situations of data availability,"Kotta, Jonne, Ojaveer, Henn, Kaasik, Ants, Szava-Kovats, Robert, Nurkse, Kristiina, Outinen, Okko, Einberg, Heli, Zaiko, Anastasija, Lehtiniemi, Maiju, Orav-Kotta, Helen, Barboza, Francisco R.",Hydrobiologia,
Article,doi:10.1007/s10750-024-05624-0,en,http://dx.doi.org/10.1007/s10750-024-05624-0,Interspecific variation in the defensive responses of brown frogs to alien predators,"Gazzola, Andrea, Balestrieri, Alessandro, Martinelli, Mattia, Rocchetta, Sara, Iori, Alberto, Pellitteri-Rosa, Daniele",Hydrobiologia,
Article,doi:10.1007/s11600-024-01457-6,en,http://dx.doi.org/10.1007/s11600-024-01457-6,Projection of climate change impact on main climate variables and assessment of the future of Köppen–Geiger climate classification in Iran,"Ghazi, Babak, Salehi, Hossein, Cheshami, Morteza, Zeydalinejad, Nejat, Linh, Nguyen Thi Thuy",Acta Geophysica,
Article,doi:10.1007/s13280-024-02093-6,en,http://dx.doi.org/10.1007/s13280-024-02093-6,The use of multiple evidence base methods to enrich climate change research and knowledge in the Arctic,"Heatta, Máret J., Hausner, Vera Helene, Utsi, Tove Aagnes",Ambio,
Article,doi:10.1007/s41463-024-00189-5,en,http://dx.doi.org/10.1007/s41463-024-00189-5,Navigating Emerging Climate Crises Through Adaptive Polycentric Meta-networks,"Staub, Tim, Tirmizi, S. Aqeel",Humanistic Management Journal,
Article,doi:10.1007/s13280-024-02111-7,en,http://dx.doi.org/10.1007/s13280-024-02111-7,Water conflicts under climate change: Research gaps and priorities,"Kåresdotter, Elisie, Destouni, Georgia, Lammers, Richard B., Keskinen, Marko, Pan, Haozhi, Kalantari, Zahra",Ambio,
Article,doi:10.1007/s13280-024-02101-9,en,http://dx.doi.org/10.1007/s13280-024-02101-9,Cascading tipping points of Antarctica and the Southern Ocean,"Kubiszewski, Ida, Adams, Vanessa M., Baird, Rachel, Boothroyd, Anne, Costanza, Robert, MacDonald, Darla Hatton, Finau, Glenn, Fulton, Elizabeth A., King, Catherine K., King, Matt A., Lannuzel, Delphine, Leane, Elizabeth, Melbourne-Thomas, Jess, Ooi, Can-Seng, Raghavan, Mala, Senigaglia, Valeria, Stoeckl, Natalie, Tian, Jing, Yamazaki, Satoshi",Ambio,
Article,doi:10.1007/s13280-024-02099-0,en,http://dx.doi.org/10.1007/s13280-024-02099-0,Effect of farm size on vulnerability in beekeeping: Insights from mediterranean Spain,"López-i-Gelats, Feliu, Hobbelink, Erik, Llaurador, Paula, Rivera-Ferre, Marta G.",Ambio,
Article,doi:10.1007/s13280-024-02115-3,en,http://dx.doi.org/10.1007/s13280-024-02115-3,It would feel weird to not drive my car! Exploring the role of habits in public policy acceptance of carbon taxations,"Linder, Noah, Sörqvist, Patrik, Lindvall, Daniel, Jagers, Sverker, Barthel, Stephan",Ambio,
Article,doi:10.1007/s10750-024-05665-5,en,http://dx.doi.org/10.1007/s10750-024-05665-5,Recovery or reorganisation? Long-term increases in riverine taxonomic and functional diversity are confounded by compositional dynamics,"Baker, Nathan J., Pilotto, Francesca, Welti, Ellen A. R., Osadčaja, Diana, Palinauskas, Vaidas",Hydrobiologia,
Article,doi:10.1007/s11367-025-02428-9,en,http://dx.doi.org/10.1007/s11367-025-02428-9,Carbon footprints of greenhouse gas mitigation measures for a grass-based beef cattle finishing system in the UK,"Jebari, Asma, Takahashi, Taro, Lee, Michael R. F., Collins, Adrian L., Coleman, Kevin, Carswell, Alison, Segura, Carmen, Cardenas, Laura, McAuliffe, Graham A.",The International Journal of Life Cycle Assessment,
Article,doi:10.1007/s41463-024-00195-7,en,http://dx.doi.org/10.1007/s41463-024-00195-7,A Framework for Deep Resilience in the Anthropocene,"Chungyalpa, Dekila, Gauthier, Pilar E., Goldman, Robin I., Vikas, M., Wilson-Mendenhall, Christine D.",Humanistic Management Journal,
Article,doi:10.1007/s10346-024-02413-7,en,http://dx.doi.org/10.1007/s10346-024-02413-7,Optimising landslide trigger analysis through integration of diverse dendrogeomorphic approaches and multi-source climate and documentary data,"Tichavský, Radek",Landslides,
Article,doi:10.1007/s12187-024-10213-7,en,http://dx.doi.org/10.1007/s12187-024-10213-7,Associations of Perceived School and Year Group Climate with Mental Health Among Children Aged 7-to-11 Years,"Donaldson, Caitlyn, Morgan, Kelly, Ouerghi, Safia, Lewis, James J., Moore, Graham",Child Indicators Research,
Article,doi:10.1007/s10933-024-00338-8,en,http://dx.doi.org/10.1007/s10933-024-00338-8,Diatom dynamics during the last six centuries in Lake Odensjön: a new varved sediment record from southern Sweden,"Silvester, Ethan L., Ljung, Karl, Bindler, Richard, Hertzman, Hanna, Lodi, Giulia, Hammarlund, Dan",Journal of Paleolimnology,
